timestamp,vin,charge_status,ac_input_voltage,ac_input_current,obc_charge_power_kw,obc_output_voltage,obc_output_current,obc_temperature,pack_voltage,pack_current,soc,cell_temp_max,insulation_resistance,alarm_level,dtc_active
2026-08-15T09:00:00,LSVA0000DEMO00001,1,221.1,30.9,6.458,398.2,16.22,44.8,397.75,-15.89,55.0,32.1,2495.0,0,
2026-08-15T09:00:01,LSVA0000DEMO00001,1,220.6,31.28,6.537,397.94,16.43,44.9,398.03,-16.1,55.0,32.0,2496.0,0,
2026-08-15T09:00:02,LSVA0000DEMO00001,1,221.0,31.47,6.578,398.26,16.52,45.0,397.95,-16.19,55.01,32.0,2479.0,0,
2026-08-15T09:00:03,LSVA0000DEMO00001,1,220.2,32.38,6.767,398.61,16.98,45.4,398.23,-16.64,55.01,31.9,2493.0,0,
2026-08-15T09:00:04,LSVA0000DEMO00001,1,220.7,31.82,6.65,397.91,16.71,45.1,397.53,-16.38,55.01,32.0,2506.0,0,
2026-08-15T09:00:05,LSVA0000DEMO00001,1,219.6,31.1,6.499,397.91,16.33,44.9,397.74,-16.01,55.02,32.0,2496.0,0,
2026-08-15T09:00:06,LSVA0000DEMO00001,1,219.6,31.85,6.656,398.63,16.7,45.2,397.51,-16.36,55.02,32.1,2477.0,0,
2026-08-15T09:00:07,LSVA0000DEMO00001,1,218.4,31.05,6.489,398.31,16.29,45.1,397.92,-15.96,55.02,32.0,2543.0,0,
2026-08-15T09:00:08,LSVA0000DEMO00001,1,220.7,32.01,6.69,397.81,16.82,45.2,398.36,-16.48,55.02,31.9,2504.0,0,
2026-08-15T09:00:09,LSVA0000DEMO00001,1,220.9,31.45,6.573,398.22,16.51,45.3,397.85,-16.18,55.03,32.2,2502.0,0,
2026-08-15T09:00:10,LSVA0000DEMO00001,1,219.7,31.56,6.596,397.81,16.58,45.4,397.85,-16.25,55.03,32.0,2484.0,0,
2026-08-15T09:00:11,LSVA0000DEMO00001,1,219.8,32.1,6.709,397.81,16.87,45.2,398.26,-16.53,55.03,32.0,2504.0,0,
2026-08-15T09:00:12,LSVA0000DEMO00001,1,219.5,31.13,6.506,398.1,16.34,45.5,398.32,-16.02,55.04,32.1,2498.0,0,
2026-08-15T09:00:13,LSVA0000DEMO00001,1,220.2,31.02,6.483,397.23,16.32,45.4,397.97,-15.99,55.04,31.9,2472.0,0,
2026-08-15T09:00:14,LSVA0000DEMO00001,1,220.7,31.33,6.549,397.31,16.48,45.1,398.21,-16.15,55.04,32.1,2484.0,0,
2026-08-15T09:00:15,LSVA0000DEMO00001,1,219.0,31.99,6.686,397.78,16.81,45.7,397.68,-16.47,55.05,32.1,2512.0,0,
2026-08-15T09:00:16,LSVA0000DEMO00001,1,220.2,31.0,6.479,397.59,16.3,45.4,398.41,-15.97,55.05,32.2,2529.0,0,
2026-08-15T09:00:17,LSVA0000DEMO00001,1,219.8,30.54,6.383,398.13,16.03,45.1,398.64,-15.71,55.05,32.0,2506.0,0,
2026-08-15T09:00:18,LSVA0000DEMO00001,1,220.1,31.41,6.565,397.64,16.51,45.7,398.16,-16.18,55.05,32.0,2517.0,0,
2026-08-15T09:00:19,LSVA0000DEMO00001,1,220.3,31.78,6.641,397.44,16.71,45.8,397.37,-16.38,55.06,32.0,2498.0,0,
2026-08-15T09:00:20,LSVA0000DEMO00001,1,219.9,32.12,6.712,398.59,16.84,45.3,397.83,-16.5,55.06,32.1,2499.0,0,
2026-08-15T09:00:21,LSVA0000DEMO00001,1,219.9,31.43,6.568,397.91,16.51,45.3,398.18,-16.18,55.06,31.9,2516.0,0,
2026-08-15T09:00:22,LSVA0000DEMO00001,1,219.9,31.46,6.574,398.03,16.52,45.4,397.87,-16.19,55.07,32.0,2525.0,0,
2026-08-15T09:00:23,LSVA0000DEMO00001,1,220.6,32.01,6.689,397.43,16.83,45.6,398.38,-16.49,55.07,31.9,2520.0,0,
2026-08-15T09:00:24,LSVA0000DEMO00001,1,220.3,30.88,6.454,397.78,16.23,45.7,398.18,-15.9,55.07,32.1,2484.0,0,
2026-08-15T09:00:25,LSVA0000DEMO00001,1,220.1,31.47,6.577,398.04,16.52,45.6,397.79,-16.19,55.08,31.8,2499.0,0,
2026-08-15T09:00:26,LSVA0000DEMO00001,1,219.2,31.65,6.614,397.54,16.64,45.5,398.01,-16.31,55.08,31.9,2504.0,0,
2026-08-15T09:00:27,LSVA0000DEMO00001,1,219.8,31.79,6.645,398.15,16.69,45.8,397.73,-16.36,55.08,32.1,2496.0,0,
2026-08-15T09:00:28,LSVA0000DEMO00001,1,220.5,31.4,6.562,397.76,16.5,45.4,397.95,-16.17,55.09,32.0,2506.0,0,
2026-08-15T09:00:29,LSVA0000DEMO00001,1,220.0,31.62,6.608,397.88,16.61,45.7,397.83,-16.27,55.09,31.9,2512.0,0,
2026-08-15T09:00:30,LSVA0000DEMO00001,1,220.4,30.65,6.405,397.76,16.1,45.5,398.35,-15.78,55.09,32.2,2515.0,0,
2026-08-15T09:00:31,LSVA0000DEMO00001,1,221.1,31.42,6.567,398.74,16.47,45.6,398.63,-16.14,55.09,32.1,2525.0,0,
2026-08-15T09:00:32,LSVA0000DEMO00001,1,220.6,31.78,6.643,397.99,16.69,45.5,397.57,-16.36,55.1,32.1,2495.0,0,
2026-08-15T09:00:33,LSVA0000DEMO00001,1,220.1,31.2,6.522,397.58,16.4,45.6,397.42,-16.08,55.1,32.0,2480.0,0,
2026-08-15T09:00:34,LSVA0000DEMO00001,1,219.7,31.66,6.617,398.33,16.61,45.5,397.93,-16.28,55.1,32.3,2505.0,0,
2026-08-15T09:00:35,LSVA0000DEMO00001,1,218.5,31.74,6.634,397.51,16.69,45.9,397.54,-16.36,55.11,32.0,2528.0,0,
2026-08-15T09:00:36,LSVA0000DEMO00001,1,219.9,31.49,6.581,398.08,16.53,45.5,398.01,-16.2,55.11,32.2,2493.0,0,
2026-08-15T09:00:37,LSVA0000DEMO00001,1,219.8,31.61,6.607,397.22,16.63,45.5,398.22,-16.3,55.11,32.1,2510.0,0,
2026-08-15T09:00:38,LSVA0000DEMO00001,1,220.2,31.2,6.521,397.47,16.41,46.1,398.45,-16.08,55.12,31.9,2510.0,0,
2026-08-15T09:00:39,LSVA0000DEMO00001,1,219.9,31.54,6.592,398.08,16.56,45.9,398.06,-16.23,55.12,32.1,2503.0,0,
2026-08-15T09:00:40,LSVA0000DEMO00001,1,219.8,31.87,6.66,398.3,16.72,45.2,397.94,-16.39,55.12,32.1,2500.0,0,
2026-08-15T09:00:41,LSVA0000DEMO00001,1,218.9,31.68,6.62,398.07,16.63,45.6,397.41,-16.3,55.12,32.0,2486.0,0,
2026-08-15T09:00:42,LSVA0000DEMO00001,1,219.4,31.38,6.559,397.95,16.48,45.4,398.01,-16.15,55.13,32.0,2466.0,0,
2026-08-15T09:00:43,LSVA0000DEMO00001,1,220.3,31.69,6.623,397.88,16.64,45.6,398.02,-16.31,55.13,32.1,2483.0,0,
2026-08-15T09:00:44,LSVA0000DEMO00001,1,221.0,31.84,6.654,397.41,16.74,45.1,398.19,-16.41,55.13,32.1,2494.0,0,
2026-08-15T09:00:45,LSVA0000DEMO00001,1,219.9,30.81,6.439,397.71,16.19,45.8,397.79,-15.87,55.14,31.8,2516.0,0,
2026-08-15T09:00:46,LSVA0000DEMO00001,1,220.2,32.04,6.696,397.82,16.83,45.6,397.87,-16.5,55.14,32.2,2498.0,0,
2026-08-15T09:00:47,LSVA0000DEMO00001,1,220.6,31.52,6.587,398.42,16.53,45.8,397.56,-16.2,55.14,32.0,2492.0,0,
2026-08-15T09:00:48,LSVA0000DEMO00001,1,219.5,31.78,6.643,398.14,16.69,45.5,397.31,-16.35,55.15,31.9,2487.0,0,
2026-08-15T09:00:49,LSVA0000DEMO00001,1,220.2,32.01,6.69,397.29,16.84,45.9,397.67,-16.5,55.15,32.2,2510.0,0,
2026-08-15T09:00:50,LSVA0000DEMO00001,1,219.6,31.1,6.5,398.13,16.33,45.8,397.53,-16.0,55.15,32.1,2520.0,0,
2026-08-15T09:00:51,LSVA0000DEMO00001,1,220.5,31.33,6.548,397.85,16.46,46.2,398.1,-16.13,55.16,32.2,2516.0,0,
2026-08-15T09:00:52,LSVA0000DEMO00001,1,220.1,31.48,6.579,397.73,16.54,46.2,397.84,-16.21,55.16,32.1,2509.0,0,
2026-08-15T09:00:53,LSVA0000DEMO00001,1,220.2,31.33,6.548,398.24,16.44,46.1,397.84,-16.11,55.16,32.1,2478.0,0,
2026-08-15T09:00:54,LSVA0000DEMO00001,1,219.5,32.31,6.752,398.41,16.95,45.9,397.7,-16.61,55.16,32.1,2495.0,0,
2026-08-15T09:00:55,LSVA0000DEMO00001,1,220.4,31.31,6.545,398.37,16.43,46.4,397.03,-16.1,55.17,32.1,2529.0,0,
2026-08-15T09:00:56,LSVA0000DEMO00001,1,221.3,31.37,6.557,397.66,16.49,45.7,398.45,-16.16,55.17,32.1,2517.0,0,
2026-08-15T09:00:57,LSVA0000DEMO00001,1,219.4,31.68,6.621,397.88,16.64,45.7,397.7,-16.31,55.17,32.0,2477.0,0,
2026-08-15T09:00:58,LSVA0000DEMO00001,1,219.8,31.16,6.513,398.13,16.36,46.0,397.88,-16.03,55.18,32.2,2499.0,0,
2026-08-15T09:00:59,LSVA0000DEMO00001,1,220.1,31.49,6.582,398.39,16.52,46.5,397.56,-16.19,55.18,32.1,2505.0,0,
2026-08-15T09:01:00,LSVA0000DEMO00001,1,220.5,31.72,6.629,397.81,16.66,46.0,398.29,-16.33,55.18,32.1,2489.0,0,
2026-08-15T09:01:01,LSVA0000DEMO00001,1,219.7,31.48,6.579,397.93,16.53,46.0,398.04,-16.2,55.19,32.2,2465.0,0,
2026-08-15T09:01:02,LSVA0000DEMO00001,1,218.3,31.54,6.592,397.56,16.58,45.8,397.75,-16.25,55.19,32.1,2501.0,0,
2026-08-15T09:01:03,LSVA0000DEMO00001,1,220.8,31.37,6.557,397.52,16.49,46.3,397.88,-16.16,55.19,32.1,2488.0,0,
2026-08-15T09:01:04,LSVA0000DEMO00001,1,220.5,31.06,6.492,398.33,16.3,46.3,398.5,-15.97,55.2,32.0,2488.0,0,
2026-08-15T09:01:05,LSVA0000DEMO00001,1,219.0,31.78,6.641,398.54,16.66,46.3,397.98,-16.33,55.2,32.2,2495.0,0,
2026-08-15T09:01:06,LSVA0000DEMO00001,1,219.6,32.28,6.746,397.97,16.95,46.0,397.95,-16.61,55.2,32.1,2498.0,0,
2026-08-15T09:01:07,LSVA0000DEMO00001,1,220.9,31.65,6.615,398.4,16.6,46.0,397.72,-16.27,55.2,32.2,2500.0,0,
2026-08-15T09:01:08,LSVA0000DEMO00001,1,220.9,31.71,6.627,398.14,16.65,45.9,397.43,-16.31,55.21,32.1,2487.0,0,
2026-08-15T09:01:09,LSVA0000DEMO00001,1,220.6,31.85,6.658,397.74,16.74,46.2,397.95,-16.4,55.21,32.1,2497.0,0,
2026-08-15T09:01:10,LSVA0000DEMO00001,1,219.9,31.14,6.508,398.14,16.35,46.0,398.1,-16.02,55.21,32.2,2474.0,0,
2026-08-15T09:01:11,LSVA0000DEMO00001,1,220.0,32.31,6.753,398.62,16.94,46.0,398.33,-16.6,55.22,32.1,2505.0,0,
2026-08-15T09:01:12,LSVA0000DEMO00001,1,219.9,31.69,6.623,397.99,16.64,46.2,397.33,-16.31,55.22,32.0,2457.0,0,
2026-08-15T09:01:13,LSVA0000DEMO00001,1,220.7,32.28,6.747,398.63,16.93,46.2,397.66,-16.59,55.22,32.3,2496.0,0,
2026-08-15T09:01:14,LSVA0000DEMO00001,1,219.5,31.25,6.531,396.95,16.45,46.2,397.83,-16.12,55.23,32.0,2514.0,0,
2026-08-15T09:01:15,LSVA0000DEMO00001,1,219.5,32.33,6.757,398.33,16.96,46.4,398.0,-16.62,55.23,32.2,2484.0,0,
2026-08-15T09:01:16,LSVA0000DEMO00001,1,220.6,31.91,6.669,398.03,16.76,46.3,397.96,-16.42,55.23,32.0,2511.0,0,
2026-08-15T09:01:17,LSVA0000DEMO00001,1,220.0,31.81,6.649,397.88,16.71,46.3,397.96,-16.38,55.23,32.3,2517.0,0,
2026-08-15T09:01:18,LSVA0000DEMO00001,1,220.8,31.7,6.626,398.04,16.65,46.4,398.12,-16.31,55.24,32.0,2450.0,0,
2026-08-15T09:01:19,LSVA0000DEMO00001,1,219.6,31.45,6.574,397.2,16.55,46.2,397.73,-16.22,55.24,32.2,2498.0,0,
2026-08-15T09:01:20,LSVA0000DEMO00001,1,220.0,32.06,6.701,397.91,16.84,46.4,398.28,-16.5,55.24,32.1,2457.0,0,
2026-08-15T09:01:21,LSVA0000DEMO00001,1,219.4,31.68,6.62,398.14,16.63,46.4,398.13,-16.3,55.25,32.1,2498.0,0,
2026-08-15T09:01:22,LSVA0000DEMO00001,1,220.0,30.91,6.46,398.59,16.21,46.1,397.9,-15.88,55.25,32.2,2500.0,0,
2026-08-15T09:01:23,LSVA0000DEMO00001,1,219.1,31.17,6.514,397.79,16.38,46.6,398.48,-16.05,55.25,32.2,2463.0,0,
2026-08-15T09:01:24,LSVA0000DEMO00001,1,219.7,31.52,6.587,397.68,16.56,46.3,398.47,-16.23,55.26,32.0,2529.0,0,
2026-08-15T09:01:25,LSVA0000DEMO00001,1,219.1,31.71,6.628,397.8,16.66,46.5,398.28,-16.33,55.26,32.1,2504.0,0,
2026-08-15T09:01:26,LSVA0000DEMO00001,1,220.4,31.62,6.608,398.37,16.59,46.7,397.09,-16.26,55.26,32.2,2487.0,0,
2026-08-15T09:01:27,LSVA0000DEMO00001,1,220.4,32.09,6.706,398.13,16.84,46.7,398.47,-16.51,55.27,32.0,2522.0,0,
2026-08-15T09:01:28,LSVA0000DEMO00001,1,219.0,30.85,6.448,397.79,16.21,46.5,398.24,-15.89,55.27,32.1,2473.0,0,
2026-08-15T09:01:29,LSVA0000DEMO00001,1,220.8,31.68,6.622,398.21,16.63,46.4,398.6,-16.3,55.27,32.5,2482.0,0,
2026-08-15T09:01:30,LSVA0000DEMO00001,1,221.5,30.92,6.463,398.04,16.24,46.7,398.37,-15.91,55.27,32.1,2466.0,0,
2026-08-15T09:01:31,LSVA0000DEMO00001,1,220.0,31.93,6.674,398.39,16.75,46.7,398.47,-16.42,55.28,32.3,2527.0,0,
2026-08-15T09:01:32,LSVA0000DEMO00001,1,219.6,31.55,6.595,397.72,16.58,46.4,398.26,-16.25,55.28,32.1,2505.0,0,
2026-08-15T09:01:33,LSVA0000DEMO00001,1,221.7,31.76,6.638,397.87,16.68,46.4,398.4,-16.35,55.28,32.2,2510.0,0,
2026-08-15T09:01:34,LSVA0000DEMO00001,1,219.2,31.27,6.535,397.84,16.43,46.2,398.6,-16.1,55.29,32.2,2505.0,0,
2026-08-15T09:01:35,LSVA0000DEMO00001,1,220.0,32.05,6.699,397.41,16.86,46.6,398.06,-16.52,55.29,32.3,2509.0,0,
2026-08-15T09:01:36,LSVA0000DEMO00001,1,220.1,32.02,6.692,398.12,16.81,46.6,397.53,-16.47,55.29,32.1,2501.0,0,
2026-08-15T09:01:37,LSVA0000DEMO00001,1,220.8,31.84,6.655,398.1,16.72,46.9,397.91,-16.38,55.3,32.4,2504.0,0,
2026-08-15T09:01:38,LSVA0000DEMO00001,1,220.2,31.56,6.597,398.0,16.57,46.7,398.12,-16.24,55.3,32.1,2502.0,0,
2026-08-15T09:01:39,LSVA0000DEMO00001,1,219.7,31.82,6.651,397.91,16.72,46.9,398.02,-16.38,55.3,32.2,2491.0,0,
2026-08-15T09:01:40,LSVA0000DEMO00001,1,219.4,31.3,6.541,397.43,16.46,46.5,397.63,-16.13,55.3,32.2,2499.0,0,
2026-08-15T09:01:41,LSVA0000DEMO00001,1,219.8,31.92,6.672,397.83,16.77,46.9,397.51,-16.44,55.31,32.1,2504.0,0,
2026-08-15T09:01:42,LSVA0000DEMO00001,1,219.4,32.23,6.736,397.86,16.93,46.6,397.78,-16.59,55.31,32.1,2502.0,0,
2026-08-15T09:01:43,LSVA0000DEMO00001,1,220.0,31.99,6.687,397.68,16.81,46.9,398.24,-16.48,55.31,32.2,2478.0,0,
2026-08-15T09:01:44,LSVA0000DEMO00001,1,219.7,31.33,6.548,397.94,16.45,46.5,398.47,-16.12,55.32,32.1,2480.0,0,
2026-08-15T09:01:45,LSVA0000DEMO00001,1,219.1,31.76,6.638,398.16,16.67,46.8,398.27,-16.34,55.32,32.4,2516.0,0,
2026-08-15T09:01:46,LSVA0000DEMO00001,1,220.8,31.18,6.516,398.75,16.34,46.4,398.32,-16.01,55.32,32.1,2495.0,0,
2026-08-15T09:01:47,LSVA0000DEMO00001,1,219.7,31.84,6.654,398.07,16.71,46.7,397.98,-16.38,55.33,32.3,2509.0,0,
2026-08-15T09:01:48,LSVA0000DEMO00001,1,219.2,31.79,6.644,398.1,16.69,46.9,397.48,-16.36,55.33,32.3,2484.0,0,
