timestamp,vin,charge_status,ac_input_voltage,ac_input_current,obc_charge_power_kw,obc_output_voltage,obc_output_current,obc_temperature,pack_voltage,pack_current,soc,cell_temp_max,insulation_resistance,alarm_level,dtc_active
2026-08-16T14:00:00,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,405.0,-110.0,55.0,34.0,3000.0,0,
2026-08-16T14:00:01,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,405.06,-109.81,55.02,34.0,3004.8,0,
2026-08-16T14:00:02,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.96,-109.66,55.04,34.1,3005.4,0,
2026-08-16T14:00:03,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.88,-109.6,55.06,34.1,3005.8,0,
2026-08-16T14:00:04,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.85,-109.64,55.09,34.0,3005.7,0,
2026-08-16T14:00:05,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.89,-109.76,55.11,34.0,3005.2,0,
2026-08-16T14:00:06,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.98,-109.94,55.13,34.0,3004.3,0,
2026-08-16T14:00:07,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,405.08,-110.14,55.15,34.1,3003.0,0,
2026-08-16T14:00:08,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,405.14,-110.3,55.17,34.1,3001.3,0,
2026-08-16T14:00:09,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,405.13,-110.39,55.2,34.1,2999.3,0,
2026-08-16T14:00:10,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,405.06,-110.38,55.22,34.1,2997.1,0,
2026-08-16T14:00:11,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.95,-110.28,55.24,34.1,2994.8,0,
2026-08-16T14:00:12,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.87,-110.11,55.26,34.1,2992.4,0,
2026-08-16T14:00:13,LSVA0000DEMO00002,dc_charging,0,0,0,0,0,35.0,404.84,-109.91,55.28,34.1,2990.0,0,
